year,num_trades,total_pnl,return_pct,win_rate_pct,profit_factor,avg_pnl,long_trades,short_trades
2016,47,-21727.5,-2.17,48.94,0.5181,-462.29,23,24
2017,65,-17580.0,-1.76,41.54,0.6423,-270.46,35,30
2018,78,16835.0,1.68,53.85,1.2551,215.83,45,33
2019,75,-1470.0,-0.15,48.0,0.9782,-19.6,42,33
2020,83,69675.0,6.97,57.83,1.7269,839.46,55,28
2021,78,28620.0,2.86,57.69,1.2332,366.92,42,36
2022,78,126055.0,12.61,57.69,2.0787,1616.09,44,34
2023,80,7540.0,0.75,51.25,1.0684,94.25,48,32
2024,67,55842.5,5.58,61.19,1.5819,833.47,39,28
2025,83,99325.0,9.93,54.22,1.8053,1196.69,44,39
2026,18,-11487.5,-1.15,33.33,0.8157,-638.19,8,10
