trade_id,direction,signal,entry_time,exit_time,entry_price,exit_price,slippage_entry,slippage_exit,effective_entry,effective_exit,gross_pnl,brokerage,net_pnl,lot_size,net_pnl_total
1,LONG,1,2016-03-30 15:28:00+05:30,2016-03-31 09:17:00+05:30,7735.45,7742.25,0.5,0.5,7735.95,7741.75,290.0000000000091,40.0,5.000000000000182,50,250.0000000000091
2,LONG,1,2016-03-31 15:28:00+05:30,2016-04-01 09:17:00+05:30,7752.55,7720.35,0.5,0.5,7753.05,7719.85,-1659.999999999991,40.0,-33.999999999999815,50,-1699.9999999999907
3,LONG,1,2016-04-04 15:28:00+05:30,2016-04-05 09:17:00+05:30,7760.25,7730.8,0.5,0.5,7760.75,7730.3,-1522.499999999991,40.0,-31.24999999999982,50,-1562.499999999991
4,SHORT,-1,2016-04-05 15:28:00+05:30,2016-04-06 09:17:00+05:30,7591.25,7616.8,0.5,0.5,7590.75,7617.3,-1327.500000000009,40.0,-27.350000000000183,50,-1367.500000000009
5,LONG,1,2016-04-12 15:28:00+05:30,2016-04-13 09:17:00+05:30,7709.3,7793.95,0.5,0.5,7709.8,7793.45,4182.499999999982,40.0,82.84999999999964,50,4142.499999999982
6,SHORT,-1,2016-05-03 15:28:00+05:30,2016-05-04 09:17:00+05:30,7739.85,7735.1,0.5,0.5,7739.35,7735.6,187.5,40.0,2.95,50,147.5
7,LONG,1,2016-05-09 15:28:00+05:30,2016-05-10 09:17:00+05:30,7868.5,7864.1,0.5,0.5,7869.0,7863.6,-269.9999999999818,40.0,-6.199999999999636,50,-309.9999999999818
8,LONG,1,2016-05-10 15:28:00+05:30,2016-05-11 09:17:00+05:30,7891.5,7818.2,0.5,0.5,7892.0,7817.7,-3715.000000000009,40.0,-75.10000000000018,50,-3755.000000000009
9,LONG,1,2016-05-12 15:28:00+05:30,2016-05-13 09:17:00+05:30,7906.7,7867.45,0.5,0.5,7907.2,7866.95,-2012.5,40.0,-41.05,50,-2052.5
10,SHORT,-1,2016-05-13 15:28:00+05:30,2016-05-16 09:17:00+05:30,7812.8,7819.4,0.5,0.5,7812.3,7819.9,-379.9999999999727,40.0,-8.399999999999455,50,-419.9999999999728
11,SHORT,-1,2016-05-18 15:28:00+05:30,2016-05-19 09:17:00+05:30,7874.8,7850.5,0.5,0.5,7874.3,7851.0,1165.000000000009,40.0,22.50000000000018,50,1125.000000000009
12,SHORT,-1,2016-05-19 15:28:00+05:30,2016-05-20 09:17:00+05:30,7772.35,7803.95,0.5,0.5,7771.85,7804.45,-1629.9999999999727,40.0,-33.39999999999945,50,-1669.9999999999725
13,SHORT,-1,2016-05-23 15:28:00+05:30,2016-05-24 09:17:00+05:30,7727.05,7733.5,0.5,0.5,7726.55,7734.0,-372.4999999999909,40.0,-8.249999999999819,50,-412.49999999999096
14,LONG,1,2016-05-26 15:28:00+05:30,2016-05-27 09:17:00+05:30,8079.1,8108.45,0.5,0.5,8079.6,8107.95,1417.4999999999727,40.0,27.549999999999454,50,1377.4999999999727
15,LONG,1,2016-06-02 15:28:00+05:30,2016-06-03 09:17:00+05:30,8216.65,8247.35,0.5,0.5,8217.15,8246.85,1485.0000000000364,40.0,28.900000000000727,50,1445.0000000000364
16,SHORT,-1,2016-06-13 15:28:00+05:30,2016-06-14 09:17:00+05:30,8111.65,8120.7,0.5,0.5,8111.15,8121.2,-502.5000000000091,40.0,-10.850000000000183,50,-542.5000000000091
17,SHORT,-1,2016-06-22 15:28:00+05:30,2016-06-23 09:17:00+05:30,8199.45,8210.8,0.5,0.5,8198.95,8211.3,-617.4999999999272,40.0,-13.149999999998546,50,-657.4999999999272
18,LONG,1,2016-06-23 15:28:00+05:30,2016-06-24 09:17:00+05:30,8270.35,8016.35,0.5,0.5,8270.85,8015.85,-12750.0,40.0,-255.8,50,-12790.0
19,SHORT,-1,2016-06-24 15:28:00+05:30,2016-06-27 09:17:00+05:30,8077.3,8074.45,0.5,0.5,8076.8,8074.95,92.50000000001819,40.0,1.0500000000003638,50,52.50000000001819
20,LONG,1,2016-06-29 15:28:00+05:30,2016-06-30 09:17:00+05:30,8205.05,8265.85,0.5,0.5,8205.55,8265.35,2990.0000000000546,40.0,59.000000000001094,50,2950.0000000000546
21,LONG,1,2016-06-30 15:28:00+05:30,2016-07-01 09:17:00+05:30,8288.15,8333.25,0.5,0.5,8288.65,8332.75,2205.000000000018,40.0,43.30000000000037,50,2165.000000000018
22,LONG,1,2016-07-04 15:28:00+05:30,2016-07-05 09:17:00+05:30,8370.05,8358.3,0.5,0.5,8370.55,8357.8,-637.5,40.0,-13.55,50,-677.5
23,SHORT,-1,2016-07-05 15:28:00+05:30,2016-07-07 09:17:00+05:30,8333.45,8327.6,0.5,0.5,8332.95,8328.1,242.5000000000182,40.0,4.050000000000364,50,202.5000000000182
24,LONG,1,2016-07-14 15:28:00+05:30,2016-07-15 09:17:00+05:30,8565.65,8568.05,0.5,0.5,8566.15,8567.55,69.99999999998181,40.0,0.5999999999996362,50,29.999999999981807
25,SHORT,-1,2016-07-18 15:28:00+05:30,2016-07-19 09:17:00+05:30,8502.05,8525.35,0.5,0.5,8501.55,8525.85,-1215.0000000000546,40.0,-25.100000000001092,50,-1255.0000000000546
26,LONG,1,2016-07-20 15:28:00+05:30,2016-07-22 09:17:00+05:30,8567.4,8518.15,0.5,0.5,8567.9,8517.65,-2512.5,40.0,-51.05,50,-2552.5
27,LONG,1,2016-07-28 15:28:00+05:30,2016-07-29 09:17:00+05:30,8665.05,8657.15,0.5,0.5,8665.55,8656.65,-444.9999999999818,40.0,-9.699999999999637,50,-484.99999999998187
28,SHORT,-1,2016-08-09 15:28:00+05:30,2016-08-10 09:17:00+05:30,8673.95,8679.75,0.5,0.5,8673.45,8680.25,-339.9999999999636,40.0,-7.599999999999272,50,-379.9999999999636
29,SHORT,-1,2016-08-10 15:28:00+05:30,2016-08-11 09:17:00+05:30,8569.7,8563.55,0.5,0.5,8569.2,8564.05,257.50000000007276,40.0,4.350000000001455,50,217.50000000007276
30,SHORT,-1,2016-08-22 15:28:00+05:30,2016-08-23 09:17:00+05:30,8627.0,8612.65,0.5,0.5,8626.5,8613.15,667.5000000000182,40.0,12.550000000000363,50,627.5000000000182
31,SHORT,-1,2016-08-25 15:28:00+05:30,2016-08-26 09:17:00+05:30,8585.0,8615.55,0.5,0.5,8584.5,8616.05,-1577.4999999999636,40.0,-32.34999999999927,50,-1617.4999999999634
32,SHORT,-1,2016-08-26 15:28:00+05:30,2016-08-29 09:17:00+05:30,8574.1,8568.7,0.5,0.5,8573.6,8569.2,219.9999999999818,40.0,3.5999999999996364,50,179.9999999999818
